filename,width,height,class,xmin,ymin,xmax,ymax
218198303.jpg,720,720,3c,157,141,184,209
218198303.jpg,720,720,3c,152,500,179,567
218198303.jpg,720,720,1c,318,98,347,164
218198303.jpg,720,720,1c,515,85,544,151
218198303.jpg,720,720,1c,295,470,324,536
218198303.jpg,720,720,1c,492,456,521,523
172173509.jpg,720,720,4c,574,319,638,387
172173509.jpg,720,720,4c,316,26,380,94
172173509.jpg,720,720,4c,159,164,224,232
172173509.jpg,720,720,9c,86,362,132,418
172173509.jpg,720,720,9c,237,258,283,313
172173509.jpg,720,720,9c,241,608,287,664
172173509.jpg,720,720,9c,392,504,438,559
785780768.jpg,720,720,5c,327,540,385,594
785780768.jpg,720,720,5c,588,322,646,376
785780768.jpg,720,720,5c,484,195,543,249
785780768.jpg,720,720,1c,431,287,502,315
785780768.jpg,720,720,1c,400,479,471,507
785780768.jpg,720,720,1c,49,310,119,338
785780768.jpg,720,720,1c,18,502,88,530
800995722.jpg,720,720,2c,446,481,474,549
800995722.jpg,720,720,2c,456,128,483,196
800995722.jpg,720,720,4c,284,495,322,557
800995722.jpg,720,720,4c,110,464,148,527
800995722.jpg,720,720,4c,377,157,415,220
800995722.jpg,720,720,4c,204,127,242,189
440326497.jpg,720,720,3c,446,481,474,549
440326497.jpg,720,720,3c,456,128,483,196
440326497.jpg,720,720,7c,284,495,322,557
440326497.jpg,720,720,7c,110,464,148,527
440326497.jpg,720,720,7c,377,157,415,220
440326497.jpg,720,720,7c,204,127,242,189
401097966.jpg,720,720,8c,232,576,293,637
401097966.jpg,720,720,2c,174,516,239,566
401097966.jpg,720,720,2c,109,385,174,435
401097966.jpg,720,720,2c,497,323,562,373
401097966.jpg,720,720,2c,433,192,497,242
657323460.jpg,720,720,9c,519,616,553,687
657323460.jpg,720,720,9c,308,608,342,680
657323460.jpg,720,720,3c,561,299,625,338
657323460.jpg,720,720,3c,475,467,540,506
657323460.jpg,720,720,3c,251,196,316,235
657323460.jpg,720,720,3c,166,364,230,403
794212743.jpg,720,720,3c,519,616,553,687
794212743.jpg,720,720,3c,308,608,342,680
794212743.jpg,720,720,7c,561,299,625,338
794212743.jpg,720,720,7c,475,467,540,506
794212743.jpg,720,720,7c,251,196,316,235
794212743.jpg,720,720,7c,166,364,230,403
734742701.jpg,720,720,5c,232,576,293,637
